index,ts_code,symbol,name,area,industry,fullname,market,exchange,list_date,is_hs
4036,603308.SH,603308,应流股份,安徽,机械基件,安徽应流机电股份有限公司,主板,SSE,20140122,H
4037,603309.SH,603309,维力医疗,广东,医疗保健,广州维力医疗器械股份有限公司,主板,SSE,20150302,H
4038,603311.SH,603311,金海高科,浙江,家用电器,浙江金海高科股份有限公司,主板,SSE,20150518,N
4039,603313.SH,603313,梦百合,江苏,家居用品,梦百合家居科技股份有限公司,主板,SSE,20161013,H
4040,603315.SH,603315,福鞍股份,辽宁,机械基件,辽宁福鞍重工股份有限公司,主板,SSE,20150424,H
4041,603316.SH,603316,诚邦股份,浙江,建筑工程,诚邦生态环境股份有限公司,主板,SSE,20170619,N
4042,603317.SH,603317,天味食品,四川,食品,四川天味食品集团股份有限公司,主板,SSE,20190416,H
4043,603318.SH,603318,水发燃气,辽宁,供气供热,水发派思燃气股份有限公司,主板,SSE,20150424,N
4044,603319.SH,603319,湘油泵,湖南,汽车配件,湖南机油泵股份有限公司,主板,SSE,20161130,N
4045,603320.SH,603320,迪贝电气,浙江,电气设备,浙江迪贝电气股份有限公司,主板,SSE,20170502,N
4046,603321.SH,603321,梅轮电梯,浙江,运输设备,浙江梅轮电梯股份有限公司,主板,SSE,20170915,N
4047,603322.SH,603322,超讯通信,广东,通信设备,超讯通信股份有限公司,主板,SSE,20160728,N
4048,603323.SH,603323,苏农银行,江苏,银行,江苏苏州农村商业银行股份有限公司,主板,SSE,20161129,H
4049,603324.SH,603324,盛剑环境,上海,环境保护,上海盛剑环境系统科技股份有限公司,主板,SSE,20210407,H
4050,603326.SH,603326,我乐家居,江苏,家居用品,南京我乐家居股份有限公司,主板,SSE,20170616,N
4051,603327.SH,603327,福蓉科技,四川,元器件,四川福蓉科技股份公司,主板,SSE,20190523,H
4052,603328.SH,603328,依顿电子,广东,元器件,广东依顿电子科技股份有限公司,主板,SSE,20140701,H
4053,603329.SH,603329,上海雅仕,上海,仓储物流,上海雅仕投资发展股份有限公司,主板,SSE,20171229,N
4054,603330.SH,603330,天洋新材,上海,塑料,天洋新材(上海)科技股份有限公司,主板,SSE,20170213,H
4055,603331.SH,603331,百达精工,浙江,专用机械,浙江百达精工股份有限公司,主板,SSE,20170705,N
4056,603332.SH,603332,苏州龙杰,江苏,化纤,苏州龙杰特种纤维股份有限公司,主板,SSE,20190117,N
4057,603333.SH,603333,尚纬股份,四川,电气设备,尚纬股份有限公司,主板,SSE,20120507,N
4058,603335.SH,603335,迪生力,广东,汽车配件,广东迪生力汽配股份有限公司,主板,SSE,20170620,N
4059,603336.SH,603336,宏辉果蔬,广东,农业综合,宏辉果蔬股份有限公司,主板,SSE,20161124,N
4060,603337.SH,603337,杰克股份,浙江,纺织机械,杰克科技股份有限公司,主板,SSE,20170119,N
4061,603338.SH,603338,浙江鼎力,浙江,专用机械,浙江鼎力机械股份有限公司,主板,SSE,20150325,H
4062,603339.SH,603339,四方科技,江苏,专用机械,四方科技集团股份有限公司,主板,SSE,20160519,N
4063,603345.SH,603345,安井食品,福建,食品,安井食品集团股份有限公司,主板,SSE,20170222,H
4064,603348.SH,603348,文灿股份,广东,汽车配件,文灿集团股份有限公司,主板,SSE,20180426,H
4065,603351.SH,603351,威尔药业,江苏,化学制药,南京威尔药业集团股份有限公司,主板,SSE,20190130,N
4066,603353.SH,603353,和顺石油,湖南,石油贸易,湖南和顺石油股份有限公司,主板,SSE,20200407,N
4067,603355.SH,603355,莱克电气,江苏,家用电器,莱克电气股份有限公司,主板,SSE,20150513,H
4068,603356.SH,603356,华菱精工,安徽,运输设备,宣城市华菱精工科技股份有限公司,主板,SSE,20180124,N
4069,603357.SH,603357,设计总院,安徽,建筑工程,安徽省交通规划设计研究总院股份有限公司,主板,SSE,20170801,H
