trade_date,open,close,high,low,volume,money
2018-10-24,3169.46,3188.2,3245.4,3164.29,11090974400.0,1.20954387288e+11
2018-10-25,3107.84,3194.31,3197.32,3099.89,10695181700.0,1.1329174643e+11
2018-10-26,3204.28,3173.64,3218.1,3151.92,10129935400.0,1.0607036676e+11
2018-10-29,3157.49,3076.89,3158.81,3062.58,9183978900.0,1.08479490211e+11
2018-10-30,3061.93,3110.26,3146.63,3050.77,11607010100.0,1.31767102718e+11
2018-10-31,3116.66,3153.82,3168.92,3106.03,11120745500.0,1.17099697836e+11
2018-11-01,3185.2,3177.03,3217.8,3173.1,13265337900.0,1.4591930428e+11
2018-11-02,3258.61,3290.25,3290.25,3222.44,15346610400.0,1.7834064341e+11
2018-11-05,3269.47,3262.84,3279.88,3230.36,10970668300.0,1.23630922689e+11
2018-11-06,3254.98,3243.15,3254.98,3213.89,8386913800.0,91703898055.4
2018-11-07,3243.88,3221.91,3270.5,3218.42,9161552800.0,1.01814918974e+11
2018-11-08,3251.73,3212.77,3253.57,3207.71,7641454000.0,85221664741.0
2018-11-09,3193.3,3167.44,3193.3,3166.31,8428276200.0,88194192201.7
2018-11-12,3160.25,3205.14,3206.51,3152.44,8806239100.0,97363052031.5
2018-11-13,3164.92,3237.38,3254.77,3161.1,12649346400.0,1.25603047265e+11
2018-11-14,3233.64,3204.94,3239.24,3200.23,11380865900.0,1.05386565968e+11
2018-11-15,3201.28,3242.37,3242.38,3198.78,9855881000.0,1.00119192332e+11
2018-11-16,3242.88,3257.67,3282.39,3223.72,12687683500.0,1.35379803918e+11
2018-11-19,3258.79,3294.6,3294.6,3251.07,11595659500.0,1.23188777592e+11
2018-11-20,3268.08,3218.41,3278.78,3213.68,10936115400.0,1.14155066806e+11
2018-11-21,3187.1,3226.49,3230.26,3185.24,8411972600.0,87813273908.4
2018-11-22,3232.97,3214.43,3235.45,3199.7,6509829100.0,70083372614.5
2018-11-23,3208.59,3143.48,3212.2,3139.39,8463825500.0,86864946183.9
2018-11-26,3148.67,3141.24,3169.44,3131.64,5937914000.0,61899479598.9
2018-11-27,3152.77,3137.24,3162.01,3126.29,5540783200.0,61946261110.2
2018-11-28,3137.75,3178.93,3179.41,3126.62,7488195500.0,77620553113.3
2018-11-29,3198.83,3137.65,3204.86,3137.65,8049846600.0,86927611883.2
2018-11-30,3136.2,3172.69,3175.15,3132.42,7092104400.0,77297697684.1
2018-12-03,3260.69,3260.95,3273.64,3228.36,12148715700.0,1.4582841649e+11
2018-12-04,3256.23,3267.71,3267.94,3243.7,7941503900.0,90543600273.8
2018-12-05,3224.26,3252.0,3266.9,3219.98,7615305200.0,90909093829.9
2018-12-06,3218.11,3181.67,3223.52,3179.89,7632877100.0,95678883443.9
2018-12-07,3187.49,3181.56,3193.82,3176.71,5336192400.0,66323970656.9
2018-12-10,3153.52,3144.76,3170.15,3134.38,6343727300.0,73717204733.2
2018-12-11,3148.23,3159.82,3161.96,3143.61,5322387700.0,60014969778.9
2018-12-12,3181.57,3170.61,3182.21,3160.28,5330991400.0,60536223473.6
2018-12-13,3178.89,3219.69,3234.08,3169.42,9044275500.0,1.03375478637e+11
2018-12-14,3207.35,3165.91,3210.72,3165.91,8430125000.0,91576900504.8
2018-12-17,3158.28,3161.2,3167.51,3134.37,6649700700.0,77151490857.7
2018-12-18,3139.95,3128.43,3165.0,3114.47,6382031900.0,72035451400.0
2018-12-19,3133.74,3091.13,3137.01,3086.76,5552229900.0,67872922422.5
2018-12-20,3083.54,3067.42,3097.72,3044.29,6974946300.0,78181426503.7
2018-12-21,3055.33,3029.4,3057.4,3007.61,7675810100.0,84824064753.3
2018-12-24,3015.5,3038.2,3040.35,3007.33,5729961500.0,63880740605.4
2018-12-25,3006.88,3017.28,3030.14,2964.88,7868942500.0,80413567307.4
2018-12-26,3012.87,3002.03,3029.06,2996.48,5564703200.0,58574968998.0
2018-12-27,3042.95,2990.51,3047.23,2990.51,8054178500.0,81159269974.1
2018-12-28,2994.8,3010.65,3024.35,2984.82,7105377900.0,78145310042.0
2019-01-02,3017.07,2969.54,3018.78,2958.49,6866302100.0,76105571277.8
2019-01-03,2963.02,2964.84,3000.44,2953.25,7086710300.0,76664797393.4
2019-01-04,2940.19,3035.87,3036.81,2935.83,10331897200.0,1.07141037088e+11
2019-01-07,3055.15,3054.3,3061.75,3035.91,10116435900.0,1.05703940791e+11
2019-01-08,3049.87,3047.7,3055.51,3038.53,8617058500.0,79628882664.2
2019-01-09,3065.23,3078.48,3117.96,3062.85,10736435000.0,1.17129678906e+11
2019-01-10,3077.48,3072.69,3092.54,3062.57,8527175600.0,90206871737.0
2019-01-11,3082.26,3094.78,3102.83,3071.03,7178642400.0,77420239578.5
2019-01-14,3092.5,3067.78,3097.41,3064.38,6612170200.0,68115969094.5
2019-01-15,3071.52,3127.99,3129.37,3064.67,8877296200.0,99976891144.1
2019-01-16,3126.13,3128.65,3135.01,3117.29,8021434100.0,85781591791.1
2019-01-17,3132.63,3111.42,3141.71,3110.06,8017487100.0,82888206986.1
2019-01-18,3124.5,3168.17,3171.69,3120.35,10396383400.0,1.06780658491e+11
2019-01-21,3170.88,3185.64,3199.21,3170.88,9391502200.0,1.0553698658e+11
2019-01-22,3181.95,3143.32,3181.95,3135.34,7299052800.0,78150876312.7
2019-01-23,3136.1,3141.05,3157.63,3131.87,5987047800.0,62669652004.0
2019-01-24,3146.6,3158.78,3165.63,3125.3,7293463600.0,80963877218.7
2019-01-25,3165.18,3184.47,3203.17,3164.41,8396772900.0,93207954747.8
2019-01-28,3203.12,3183.78,3228.87,3174.72,8262243100.0,97371496147.1
2019-01-29,3177.26,3193.97,3200.99,3148.23,7765833400.0,85943908590.0
2019-01-30,3181.66,3168.48,3202.9,3167.89,6374651700.0,73005123447.1
2019-01-31,3182.7,3201.63,3216.07,3178.01,8624783900.0,97509924771.0
2019-02-01,3225.73,3247.4,3247.5,3207.72,8201964100.0,94766412762.8
2019-02-11,3239.81,3306.47,3307.06,3239.81,9881843400.0,1.14752354821e+11
2019-02-12,3306.35,3330.34,3335.36,3298.63,12223246200.0,1.22834101007e+11
2019-02-13,3337.78,3397.03,3405.58,3329.14,16382833200.0,1.68866262062e+11
2019-02-14,3392.85,3402.14,3415.4,3381.98,15112729000.0,1.38649287971e+11
2019-02-15,3391.24,3338.7,3395.03,3335.87,14366860300.0,1.41555060948e+11
2019-02-18,3366.42,3445.74,3445.74,3366.42,18288608900.0,1.80449742544e+11
2019-02-19,3454.72,3439.61,3480.79,3419.07,17908378500.0,1.85762746553e+11
2019-02-20,3449.93,3451.93,3463.77,3421.51,14739031100.0,1.4557026307e+11
2019-02-21,3450.14,3442.71,3500.25,3431.63,18014328700.0,1.85197154785e+11
2019-02-22,3439.38,3520.12,3520.12,3417.98,18723797400.0,2.02869288708e+11
2019-02-25,3575.85,3729.48,3729.48,3574.69,34255712200.0,3.76382393433e+11
2019-02-26,3734.71,3684.69,3762.11,3679.27,35803869800.0,3.87632860075e+11
2019-02-27,3682.81,3678.39,3737.63,3638.33,28623600700.0,3.07306148139e+11
2019-02-28,3675.26,3669.37,3695.46,3650.05,18481022000.0,2.06010958185e+11
2019-03-01,3699.22,3749.71,3749.71,3668.77,20471100400.0,2.35620623488e+11
